,alpha,p,rsquare,fund_size,return_gap,fund_flow,sharp,treynor,beta,vol
re000051OF,0.000798198269116172,0.5352272856901834,7.0,171.0,237.0,8.0,267.0,195.0,204.0,437.0
re000059OF,0.0018371563950935147,0.7130966355103525,214.0,228.0,144.0,354.0,341.0,56.0,359.0,217.0
re000176OF,0.0019122951500798128,0.16114206019317534,15.0,93.0,210.0,177.0,165.0,183.0,238.0,431.0
re000248OF,0.009495469061130437,0.18706970538111556,302.0,118.0,39.0,160.0,18.0,17.0,100.0,110.0
re000309OF,0.003353647464424155,0.4857258636174312,240.0,399.0,396.0,334.0,223.0,201.0,169.0,223.0
re000326OF,0.0019600827265423386,0.6489498476835427,401.0,413.0,398.0,176.0,158.0,433.0,433.0,246.0
re000368OF,0.0011750550826705383,0.6174926262247795,100.0,201.0,269.0,166.0,239.0,150.0,246.0,368.0
re000373OF,0.0025293621338853996,0.688653868245468,295.0,192.0,65.0,352.0,225.0,29.0,299.0,146.0
re000376OF,0.0022243068749128164,0.7240719592118658,294.0,110.0,64.0,199.0,237.0,30.0,300.0,147.0
re000409OF,0.004377028134932355,0.49918950297795717,378.0,314.0,69.0,66.0,174.0,423.0,386.0,140.0
re000418OF,0.010079555387828558,0.08332741866169535,293.0,157.0,119.0,268.0,29.0,370.0,339.0,169.0
re000513OF,0.008388110876914753,0.04568478359639416,182.0,232.0,127.0,60.0,33.0,154.0,132.0,249.0
re000524OF,0.004316322792517393,0.5369485649958637,358.0,410.0,116.0,307.0,248.0,343.0,308.0,119.0
re000549OF,0.010460283227145425,0.079709173160651,253.0,313.0,282.0,278.0,128.0,360.0,79.0,161.0
re000577OF,0.0027930356551616343,0.5158099556048457,246.0,62.0,203.0,29.0,118.0,123.0,340.0,247.0
re000586OF,0.005852662981385249,0.4689094616083167,372.0,276.0,368.0,385.0,288.0,427.0,360.0,75.0
re000592OF,0.0032164680809402234,0.5260201140174475,231.0,297.0,47.0,348.0,129.0,336.0,131.0,210.0
re000628OF,0.0029249787671238366,0.37993755227981507,194.0,78.0,251.0,228.0,48.0,267.0,385.0,283.0
re000656OF,0.0003252294244411053,0.9199126581781609,166.0,103.0,227.0,419.0,308.0,167.0,190.0,285.0
re000688OF,0.0027180142739432946,0.253278239880915,116.0,191.0,137.0,106.0,243.0,106.0,254.0,366.0
re000697OF,0.00023529148623703013,0.9801915544843232,373.0,277.0,135.0,159.0,331.0,389.0,82.0,49.0
re000711OF,0.007554841897864912,0.22153290082215005,277.0,250.0,66.0,305.0,77.0,34.0,364.0,151.0
re000729OF,0.00048168365458334597,0.9319279201598444,272.0,324.0,112.0,366.0,371.0,359.0,230.0,183.0
re000746OF,0.010753098606306237,0.05139676817583492,221.0,227.0,118.0,174.0,26.0,339.0,95.0,187.0
re000751OF,0.013795290437164837,0.0012452719702105834,190.0,36.0,48.0,206.0,2.0,253.0,278.0,248.0
re000756OF,0.00020959538353659823,0.9644158339214135,208.0,317.0,115.0,372.0,377.0,312.0,146.0,230.0
re000778OF,0.006460790912217218,0.05435978166361297,165.0,408.0,221.0,30.0,114.0,90.0,305.0,281.0
re000780OF,0.004646674156701397,0.4493848446591724,315.0,322.0,7.0,142.0,92.0,58.0,412.0,152.0
re000803OF,0.008973386864919237,0.11452626515576271,311.0,261.0,230.0,395.0,112.0,354.0,164.0,179.0
re000826OF,0.0017396277332189045,0.802600728656395,329.0,316.0,238.0,118.0,166.0,429.0,102.0,120.0
