,2020/03
re000008OF,-0.06887535909208407
re000042OF,-0.058959503229660995
re000051OF,-0.06379505695786658
re000059OF,-0.006464772413335125
re000082OF,-0.07812114473335789
re000176OF,-0.06252753244640884
re000248OF,0.040074577570324
re000309OF,-0.06435801607050108
re000311OF,-0.0698413606386935
re000312OF,-0.06413823382889816
re000313OF,-0.06436233338917903
re000326OF,-0.18301987434218128
re000368OF,-0.05626164897881772
re000373OF,0.021747312530242178
re000376OF,0.020736011519767016
re000409OF,-0.1499849023645908
re000411OF,-0.05792446024051524
re000418OF,-0.11410101417862623
re000457OF,-0.07584634377890825
re000471OF,-0.042042921219542305
re000478OF,-0.06432625246081283
re000512OF,-0.1225218687656707
re000513OF,-0.056642672588391715
re000524OF,-0.09966213554665641
re000549OF,-0.10835283167595128
re000577OF,-0.052483849768390864
re000586OF,-0.16180712907131958
re000592OF,-0.09205115382650957
re000594OF,-0.09556534299369192
re000596OF,-0.08308245948637118
re000613OF,-0.060756575616740284
re000628OF,-0.07232285066247758
re000656OF,-0.058985702370215505
re000688OF,-0.04933695640271251
re000696OF,-0.07032008821545324
re000697OF,-0.12340103272312336
re000711OF,0.015728334079126806
re000729OF,-0.10829741065696145
re000746OF,-0.09522501651994834
re000751OF,-0.07043507698965487
re000756OF,-0.0846618922691218
re000761OF,-0.07969373424713842
re000778OF,-0.04511709941102927
re000780OF,-0.008594430287070626
re000793OF,-0.10185721072506446
re000803OF,-0.10607208683472329
re000826OF,-0.16358380669750952
re000827OF,-0.16329558022634388
re000828OF,-0.11797121440978245
re000831OF,0.03786223182913181
re000835OF,-0.06072740631959379
re000854OF,-0.024668225138213446
re000866OF,-0.10635612971630827
re000867OF,-0.07280516294848573
re000884OF,-0.05015178409746967
re000893OF,-0.050465324573000646
re000913OF,-0.05868497948157623
re000916OF,-0.03922259000194124
re000925OF,-0.01371167087007497
re000942OF,-0.12604565559304223
re000948OF,-0.12106571266509718
re000950OF,-0.06948952113096159
re000955OF,-0.050119796709255454
re000960OF,0.02053693242976991
re000961OF,-0.06430356916360924
re000962OF,-0.06831148396085464
re000968OF,-0.03362292710421914
re000971OF,-0.12387310513887374
re000974OF,-0.04387280951156166
re000975OF,-0.06217869751970715
re000978OF,-0.06778352434447754
re000979OF,-0.111544427749832
re000985OF,-0.14589121904552535
re000991OF,-0.06448233221203158
re000996OF,-0.08953813563192892
re001008OF,-0.07440916321234203
re001009OF,-0.11125252904950698
re001015OF,-0.07045142872471871
re001016OF,-0.07096189027669697
re001027OF,0.1036142464401801
re001028OF,-0.10970892495096941
re001036OF,-0.10843495643488357
re001039OF,-0.13060712059172008
re001040OF,-0.051073582175827324
re001042OF,-0.09063898001580678
re001043OF,-0.06534978441992148
re001044OF,-0.016341738682652856
re001047OF,-0.07723528643849621
re001048OF,-0.03655663647683121
re001050OF,-0.06501094632027371
re001051OF,-0.05112440068162695
re001052OF,-0.06910628926241762
re001054OF,-0.07262009670813976
re001064OF,-0.10206391736459866
re001070OF,-0.13060931570182407
re001072OF,-0.10709198574441954
re001097OF,-0.06085418337379365
re001104OF,-0.05446104671910534
re001105OF,-0.09993317154944314
re001113OF,-0.07420001275220942
re001126OF,-0.08043761937797225
re001133OF,-0.08819382760977171
re001149OF,-0.058943949952156384
re001158OF,-0.11154144505303247
re001162OF,-0.03778683080773044
re001163OF,0.00032413832168060925
re001166OF,-0.1345499390540672
re001167OF,-0.16325765766580952
re001171OF,0.04755469967959818
re001178OF,-0.03272701260165538
re001180OF,0.0036233238494505775
re001186OF,-0.06278996300374612
re001188OF,-0.06891793473743668
re001193OF,0.0024558996109642155
re001195OF,0.003660289725253309
re001208OF,-0.06345620980667371
re001214OF,-0.06746066130018617
re001223OF,-0.08401864586549322
re001230OF,0.0021192412251707436
re001236OF,-0.10785298117463474
re001237OF,-0.051793292394526146
re001241OF,-0.06817567259310776
re001242OF,-0.0752444726494002
re001243OF,-0.07521823840539173
re001245OF,-0.11629219640157479
re001277OF,-0.06079878545393498
re001291OF,-0.07566222017257322
re001313OF,-0.11459034248830775
re001319OF,-0.1510799722858108
re001351OF,-0.0585741299980914
re001361OF,-0.12418357598932143
re001396OF,-0.10861467955296264
re001397OF,-0.04396456707675577
re001404OF,-0.1751748957559409
re001409OF,-0.11408883828750074
re001410OF,-0.1176664382199882
re001416OF,-0.08997372912797562
re001420OF,-0.055364761667979615
re001421OF,-0.11166286165841208
re001426OF,-0.05571916556376413
re001455OF,-0.06571681704546106
re001469OF,-0.06518163630174771
re001473OF,-0.06455344844551034
re001476OF,-0.14579609146641054
re001482OF,-0.05200882425929226
re001490OF,-0.014918621828524905
re001496OF,-0.10163383613407559
re001521OF,-0.16779228833091892
re001528OF,-0.08756664231495404
re001539OF,-0.06769129071010963
re001541OF,-0.07183518196912755
re001542OF,-0.13572141003857466
re001548OF,-0.05442777263876163
re001549OF,-0.05456485565593482
re001550OF,-0.005132887235126396
re001551OF,-0.005428029924527627
re001552OF,-0.05383499138126768
re001553OF,-0.05396836515792606
re001577OF,-0.1057165619690264
re001583OF,-0.05216309136128517
re001588OF,-0.060893021426850574
re001589OF,-0.06104885765047207
re001592OF,-0.08891701569546756
re001593OF,-0.08917402069141349
re001594OF,-0.07075250587234531
re001595OF,-0.07094081841069642
re001605OF,-0.08489171273016724
re001616OF,-0.12354514553172372
re001617OF,-0.14768009938129023
re001618OF,-0.14789885927387864
re001626OF,-0.06475737203922313
re001628OF,-0.04916212064453198
re001629OF,-0.10261744377516
re001630OF,-0.10276579021204096
re001631OF,0.04693169944436509
re001632OF,0.046757839551532676
re001637OF,-0.06356883084148289
re001638OF,-0.03794828930516718
re001643OF,-0.19682114125518438
re001644OF,-0.19708386354806526
re001645OF,-0.0764879598162972
re001651OF,-0.0544011135972282
re001672OF,-0.153155575677605
re001677OF,-0.028712111433130953
re001685OF,-0.09380818018314893
re001692OF,-0.11639972462585862
re001703OF,-0.08601496088769768
re001705OF,-0.10238405038230364
re001714OF,-0.08847388028464362
re001717OF,0.04405705969946625
re001718OF,-0.14180868663271118
re001719OF,-0.05270124714046081
re001725OF,-0.021730948493180965
re001726OF,-0.06504252441220802
re001733OF,-0.05710295730028664
re001736OF,-0.058070693200023164
re001764OF,-0.08974055211454669
re001766OF,0.012545810996762663
re001781OF,-0.0537915561020282
re001825OF,-0.0840620105594533
re001849OF,-0.05773728452694602
re001877OF,-0.08202932378619851
re001878OF,-0.10398381589867703
re001899OF,-0.10754894245415786
re001915OF,0.04483729242412914
re001917OF,-0.04012634657501724
re001938OF,-0.1152929960166892
re001956OF,-0.1421695867708492
re001974OF,-0.06979557678052482
re001975OF,-0.10981554709465587
re002063OF,-0.12313601658351891
re002121OF,-0.10901000109112752
re002168OF,-0.14705441449288487
re002199OF,-0.08458471694043528
re002210OF,-0.05600403875952601
re002229OF,-0.17004417698172636
re002236OF,-0.005774829407555252
re002300OF,0.043978144319207185
re002310OF,-0.062002022829450235
re002311OF,-0.06366873651720477
re002315OF,-0.0620384653001847
re002316OF,-0.06381995077778023
re002332OF,-0.10344183205824757
re002333OF,-0.10384388343617888
re002334OF,-0.047277660589732956
re002335OF,-0.04781263846985066
re002385OF,-0.06679109521482383
re002387OF,-0.07812800651538407
re002510OF,-0.10542229452427379
re002556OF,-0.10768411269566334
re002595OF,-0.10769191183708983
re002621OF,0.04932552817490879
re002656OF,-0.0862208990341141
re002670OF,-0.05405815828265402
re002671OF,-0.049155366219106385
re002697OF,0.04876553291351385
re002871OF,-0.06791337634008793
re002872OF,-0.018645270901084504
re002900OF,-0.1268175183592614
re002903OF,-0.06713799169918382
re002906OF,-0.08577325167881825
re002907OF,-0.08630844823837898
re002952OF,-0.04136630597337071
re002974OF,-0.12617836290537446
re002977OF,-0.08847848428215933
re002978OF,0.003538026233164217
re002979OF,-0.06540999297354397
re002980OF,-0.09291229805075137
re002982OF,-0.03373616050088644
re002984OF,-0.10218009871482583
re002987OF,-0.06360742397203277
re003015OF,-0.05502859254294939
re003016OF,-0.04866555575027426
re003017OF,-0.09749190469026443
re003053OF,-0.132372150328852
re003054OF,-0.13250742272717808
re003145OF,-0.09140460280630787
re003190OF,0.0038680027418420875
re003191OF,0.00245941673190371
re003194OF,-0.06286181992711126
re003230OF,0.08094664082370531
re003231OF,0.08769749828966854
re003232OF,-0.07304137093439471
re003233OF,-0.07296428543948408
re003298OF,-0.085599501272841
re003299OF,-0.08702020295579423
re003318OF,-0.04622599102292149
re003359OF,-0.0066501720801059845
re003366OF,-0.020267796472062886
re003416OF,-0.0487088092742829
re003475OF,-0.06883920553453561
re003548OF,-0.05126630986322524
re003578OF,-0.048908098548310186
re003579OF,-0.05557342852203122
re003624OF,-0.1139684707436493
re003625OF,-0.1147766385148094
re003634OF,0.12313462236494356
re003646OF,-0.05445803647845915
re003647OF,-0.054744596594470354
re003853OF,-0.1763318171452389
re003865OF,-0.05656048237638594
re003876OF,-0.06795967701813996
re003884OF,-0.10338721051388064
re003885OF,-0.09653388225018825
re003956OF,-0.18468070641724763
re003957OF,-0.0680399044291749
re003958OF,-0.06836883324110726
re003984OF,-0.14753041387483767
re003985OF,-0.1472787379889556
re003986OF,-0.04667336279882912
re004069OF,-0.04403157835319319
re004070OF,-0.0443451077248052
re004075OF,-0.002066275954484459
re004189OF,0.0086174135653633
re004190OF,-0.04708621562519541
re004191OF,-0.04742318481935245
re004194OF,-0.05207786396655777
re004195OF,-0.05210903436352461
re004241OF,-0.11618464601903976
re004342OF,-0.06530945391415507
re004343OF,-0.08645008913034481
re004344OF,-0.0746140195391726
re004345OF,-0.07657038489545837
re004346OF,-0.05433836266428173
re004347OF,-0.12718115514995842
re004348OF,-0.06845756114952332
re004408OF,-0.06674025574782458
re004409OF,-0.1203089743385473
