,2020/03
re000008OF,0.008585008591469958
re000042OF,0.04163954990158485
re000051OF,0.0014879001762275852
re000059OF,0.02241323502321023
re000082OF,0.03249149624264442
re000176OF,0.001672186744334986
re000248OF,0.046510171803558806
re000309OF,0.020778614669475424
re000311OF,0.028493975999526355
re000312OF,0.033789914655278815
re000313OF,0.035129429894496786
re000326OF,0.0166457612547577
re000368OF,0.004970585616203931
re000373OF,0.03577846508719744
re000376OF,0.035643998627378895
re000409OF,0.037667524438105685
re000411OF,0.008600431673822288
re000418OF,0.030418595372348214
re000457OF,0.03810672745261249
re000471OF,0.025855437393055087
re000478OF,0.006425640368256626
re000512OF,0.025139501068904654
re000513OF,0.01582012903097919
re000524OF,0.04387805797609779
re000549OF,0.03199136723269811
re000577OF,0.016587095315979294
re000586OF,0.05863069697410687
re000592OF,0.02310218473609992
re000594OF,0.027345248166105465
re000596OF,0.040034971976502
re000613OF,0.011035566852405835
re000628OF,0.009964274337677199
re000656OF,0.009394422562923629
re000688OF,0.005082180806787481
re000696OF,0.018441952904562745
re000697OF,0.08063118318875073
re000711OF,0.03429102097092589
re000729OF,0.028550298556334407
re000746OF,0.027354076358841104
re000751OF,0.01639508808316105
re000756OF,0.019817204350238753
re000761OF,0.008413124782519687
re000778OF,0.010124660565270794
re000780OF,0.03387933303804236
re000793OF,0.041755706466211434
re000803OF,0.029027191798610956
re000826OF,0.0434803724293613
re000827OF,0.04322803787893642
re000828OF,0.04224092712195037
re000831OF,0.04249234186105507
re000835OF,0.004260664881268806
re000854OF,0.024242236070555003
re000866OF,0.02917072478432758
re000867OF,0.02483171569789904
re000884OF,0.017618939200721044
re000893OF,0.012191936518583373
re000913OF,0.03776950127287927
re000916OF,0.007464499101654701
re000925OF,0.05136532721482207
re000942OF,0.04736659521311465
re000948OF,0.01797004049046068
re000950OF,0.019192451618293346
re000955OF,0.026963840878190155
re000960OF,0.04503597558962462
re000961OF,0.0015088694179350396
re000962OF,0.006070840797067362
re000968OF,0.013649689562339676
re000971OF,0.059256860946991
re000974OF,0.01828304751960429
re000975OF,0.0028803874271301423
re000978OF,0.0100431899536707
re000979OF,0.011436799612964323
