,thscode,ths_fund_scale_fund
0,000008.OF,606551719.26
1,000042.OF,41342980.47
2,000051.OF,10254097362.69
3,000059.OF,1899889522.480001
4,000082.OF,478695816.59
5,000176.OF,317868149.37
6,000248.OF,1065149217.39
7,000309.OF,1591271350.23
8,000311.OF,682230229.4200001
9,000312.OF,39671585.21
10,000313.OF,69626868.56000002
11,000326.OF,2733855003.31
12,000368.OF,274424958.61
13,000373.OF,24677354.84
14,000376.OF,10004661.3
15,000409.OF,370667960.4700001
16,000411.OF,55025872.92000001
17,000418.OF,70594918.15000002
18,000457.OF,513502462.62
19,000471.OF,4086049488.42
20,000478.OF,625515016.1600001
21,000512.OF,456807347.23
22,000513.OF,860975821.09
23,000524.OF,1515875705.18
24,000549.OF,295009842.5
25,000577.OF,562131705.0299999
26,000586.OF,674324238.08
27,000592.OF,244039544.27
28,000594.OF,54410254.40999999
29,000596.OF,901108797.4
30,000613.OF,3699197422.86
31,000628.OF,149287323.5
32,000656.OF,50710082.36
33,000688.OF,50556050.95
34,000696.OF,3501317108.06
35,000697.OF,6422923785.969998
36,000711.OF,1635479037.1
37,000729.OF,292237124.61
38,000746.OF,530557654.27
39,000751.OF,186259581.91
40,000756.OF,109076316.13
41,000761.OF,18252794.79
42,000778.OF,1096623808.88
43,000780.OF,1915280759.36
44,000793.OF,1830605622.82
45,000803.OF,75980936.59
46,000826.OF,382483047.9900001
47,000827.OF,676505315.85
48,000828.OF,105662686.37
49,000831.OF,3843002886.249999
50,000835.OF,97990131.48
51,000854.OF,179287445.55
52,000866.OF,925712150.9000001
53,000867.OF,228698914.27
54,000884.OF,293956017.46
55,000893.OF,1634389315.56
56,000913.OF,2089010841.22
57,000916.OF,1999460311.41
58,000925.OF,3820731328.69
59,000942.OF,278783297.15
60,000948.OF,1979396813.91
61,000950.OF,1001552017.38
62,000955.OF,2316141306.74
63,000960.OF,1083019802.12
64,000961.OF,766407886.89
65,000962.OF,594817658.4300002
66,000968.OF,164811815.08
67,000971.OF,601776745.9100001
68,000974.OF,344242588.91
69,000975.OF,102002183.98
70,000978.OF,1001742919.16
71,000979.OF,5644619779.8
72,000985.OF,1869914599.18
73,000991.OF,984809815.3
74,000996.OF,2289429911.449999
75,001008.OF,2433561143.93
76,001009.OF,1013969913.71
77,001015.OF,197147376.53
78,001016.OF,98943731.31000002
79,001027.OF,110805726.62
80,001028.OF,1549909052.43
81,001036.OF,2521686288.27
82,001039.OF,2263195671.4
83,001040.OF,1150961461.87
84,001042.OF,3166178040.29
85,001043.OF,717588328.1800003
86,001044.OF,1637364836.21
87,001047.OF,1536528690.95
88,001048.OF,2879997640.460001
89,001050.OF,1759076604.95
90,001051.OF,777984134.21
91,001052.OF,756368118.7
92,001054.OF,1762908742.44
93,001064.OF,907646297.59
94,001070.OF,656851224.0300001
95,001072.OF,1389820397.76
96,001097.OF,447609250.35
97,001104.OF,3263910295.71
98,001105.OF,702031157.8
