,time,thscode,netAssetValue
0,2017-04-28,001849.OF,0.922
1,2017-05-31,001849.OF,0.872
2,2017-06-30,001849.OF,0.927
3,2017-07-31,001849.OF,1.002
4,2017-08-31,001849.OF,1.027
5,2017-09-29,001849.OF,1.015
6,2017-10-31,001849.OF,1.02
7,2017-11-30,001849.OF,1.007
8,2017-12-29,001849.OF,1.005
9,2018-01-31,001849.OF,1.073
10,2018-02-28,001849.OF,1.008
11,2018-03-30,001849.OF,0.966
12,2018-04-27,001849.OF,0.933
13,2018-05-31,001849.OF,0.965
14,2018-06-29,001849.OF,0.927
15,2018-07-31,001849.OF,0.923
16,2018-08-31,001849.OF,0.884
17,2018-09-28,001849.OF,0.914
18,2018-10-31,001849.OF,0.821
19,2018-11-30,001849.OF,0.834
20,2018-12-28,001849.OF,0.798
21,2019-01-31,001849.OF,0.831
22,2019-02-28,001849.OF,0.949
23,2019-03-29,001849.OF,1.031
24,2019-04-30,001849.OF,1.051
25,2019-05-31,001849.OF,1.001
26,2019-06-28,001849.OF,1.048
27,2019-07-31,001849.OF,1.048
28,2019-08-30,001849.OF,1.056
29,2019-09-30,001849.OF,1.08
30,2019-10-31,001849.OF,1.108
31,2019-11-29,001849.OF,1.107
32,2019-12-31,001849.OF,1.205
33,2020-01-23,001849.OF,1.224
34,2020-02-28,001849.OF,1.237
35,2020-03-31,001849.OF,1.163
36,2020-04-30,001849.OF,1.239
37,2020-05-29,001849.OF,1.28
38,2020-06-30,001849.OF,1.415
39,2020-07-31,001849.OF,1.6
40,2020-08-31,001849.OF,1.661
41,2020-09-30,001849.OF,1.585
42,2020-10-30,001849.OF,1.599
43,2020-11-30,001849.OF,1.649
44,2020-12-31,001849.OF,1.697
45,2021-01-29,001849.OF,1.696
46,2021-02-26,001849.OF,1.657
47,2021-03-31,001849.OF,1.603
48,2021-04-30,001849.OF,1.664
49,2021-05-31,001849.OF,1.79
50,2021-06-30,001849.OF,1.814
51,2021-07-30,001849.OF,1.851
52,2021-08-31,001849.OF,1.864
53,2021-09-30,001849.OF,1.844
54,2021-10-29,001849.OF,1.785
55,2021-11-30,001849.OF,1.79
56,2021-12-31,001849.OF,1.799
57,2022-01-28,001849.OF,1.598
58,2022-02-28,001849.OF,1.681
59,2022-03-01,001849.OF,1.686
